Concurrency,NonCC_TTFT,CC_TTFT,NonCC_E2E,CC_E2E,NonCC_TPS,CC_TPS,NonCC_Overall_TPS,CC_Overall_TPS
1,1.755647230500017,1.7148518849999164,1.7556474270000135,1.7148520909995568,107.4293284855202,94.03249425673602,89.94147750087005,91.52650313038968
2,3.788715271000001,3.3676751099992543,3.788715430999957,3.367675285999212,57.41947059302226,48.18563992034489,65.15476783345423,53.191203816616145
4,6.999994971999968,6.800408087499818,6.999995208999962,6.800408254999638,29.542181566188127,23.06590181294989,31.09274943745621,28.619922120944125
8,11.713778505999985,12.216769638000187,11.713778724000008,12.21676984000078,13.0308801488948,12.162192161543285,15.47822171442811,14.193051447451731
16,22.98896317949999,27.631938381499825,22.98896343299998,27.63193857549959,6.9979153889694405,6.554024468538455,8.551659601985234,8.64319159971139
32,27.85434493899993,32.5292755710002,27.854345256999977,32.5292757735001,6.310815732783943,5.278912461369281,6.6982116577803295,5.728488297143314
