provider_name,provider_model,traffic_mode,traffic_level,input_avg_len,input_stdev_len,input_min_len,input_max_len,input_total_tokens,output_avg_len,output_stdev_len,output_min_len,output_max_len,output_total_tokens,cached_avg_len,cached_stdev_len,cached_min_len,cached_max_len,cached_total_tokens,ttft_mean,ttft_stdev,ttft_p05,ttft_p50,ttft_p80,ttft_p95,ttft_p99,ttft_p999,ttft_distribution,user_tps_mean,user_tps_stdev,user_tps_p05,user_tps_p50,user_tps_p80,user_tps_p95,user_tps_p99,user_tps_p999,user_tps_distribution,e2e_mean,e2e_stdev,e2e_p05,e2e_p50,e2e_p80,e2e_p95,e2e_p99,e2e_p999,e2e_distribution,summary_total_num_requests,summary_total_elapsed_time_s,summary_job_level_tps,summary_actual_qps,summary_num_failed_requests,per_gpu_num_gpus,per_gpu_tps_mean,per_gpu_tps_stdev,acceptance_rate,hf_dataset_name
gke,qwen:7b,stress,1,4096.0,0.0,4096,4096,126976,176.41935483870967,96.45993095358244,56,498,5469,-1.0,0.0,-1,-1,-31,1.9275218775161016,0.9835386389887053,1.1675154679996922,1.7148518849999164,2.036882364000121,3.48622182400004,5.445249816600061,6.043726758960198,25|3|2|0|1,89.92908475646192,20.515291943432523,56.42410358247591,94.03249425673602,104.57156790030488,121.05007226196096,126.26562821727543,127.73726667975455,2|5|8|12|4,1.927522070709734,0.9835386659954803,1.1675156420001258,1.7148520909995568,2.036882532000164,3.4862220129998605,5.445250137500078,6.043727130350295,25|3|2|0|1,31,59.753184192001754,91.52650313038968,0.5166666666666667,0,,,,1.0,
gke,qwen:7b,stress,2,4096.0,0.0,4096,4096,143360,177.25714285714287,129.42891368422664,14,739,6204,-1.0,0.0,-1,-1,-35,3.3324519690856373,1.0822633226823433,1.9689393134001876,3.3676751099992543,3.937141218199941,5.166596727500289,6.314051658400019,6.519102882639906,10|13|8|2|2,51.26909384090064,21.955838468256523,20.43928462936401,48.18563992034489,65.5449647631694,94.41202939788832,110.79428770659234,112.74734778529151,3|12|16|2|2,3.332452175142732,1.082263325781912,1.968939510799919,3.367675285999212,3.937141473400153,5.166596921000016,6.31405192961958,6.519103159061272,10|13|8|2|2,35,116.63582612999562,53.191203816616145,0.5833333333333334,0,,,,1.0,
gke,qwen:7b,stress,4,4096.0,0.0,4096,4096,131072,204.3125,176.61137169758697,15,910,6538,-1.0,0.0,-1,-1,-32,7.1388207714375085,1.8879558598503337,4.958502873149882,6.800408087499818,7.799362713399932,10.996295478350067,11.175463193250316,11.238921052725475,10|11|5|2|4,29.285009431563545,24.888769060442037,8.254261559962382,23.06590181294989,33.903413543348464,65.33105174321803,121.47256450264155,137.19537690021284,21|9|1|0|1,7.138820963124971,1.8879558488438384,4.958503061800002,6.800408254999638,7.799362905999805,10.996295648799787,11.1754633600302,11.238921208903218,10|11|5|2|4,32,228.44227081999907,28.619922120944125,0.5333333333333333,0,,,,1.0,
gke,qwen:7b,stress,8,4096.0,0.0,4096,4096,151552,164.48648648648648,71.77535232376921,48,341,6086,-1.0,0.0,-1,-1,-37,11.589226211351358,2.8026731406392096,5.527508034800121,12.216769638000187,13.455177304400241,14.483279833599589,14.846757482880129,14.952642389388444,2|1|2|16|16,17.207087307804127,16.4091622900591,5.614664642811976,12.162192161543285,21.708317109593057,43.71260977575213,79.60539048034079,93.67004015921712,30|4|2|0|1,11.589226396837935,2.802673137227313,5.52750821640002,12.21676984000078,13.455177481800273,14.483280016399656,14.846757651280496,14.952642544828652,2|1|2|16|16,37,428.8013766830036,14.193051447451733,0.6166666666666667,0,,,,1.0,
gke,qwen:7b,stress,16,4096.0,0.0,4096,4096,131072,203.46875,150.97168809031285,52,771,6511,-1.0,0.0,-1,-1,-32,23.54092768331256,8.377622560904497,7.535346416250422,27.631938381499822,30.16193523120055,30.63252577415028,30.70557213788982,30.725205892688574,3|3|2|4|20,13.877728642486126,22.06570448960304,2.640752091922346,6.554024468538455,15.146092544243007,51.36926156639292,98.19846511959778,104.19380880402926,28|2|0|1|1,23.540927868218745,8.377622559078246,7.535346615700382,27.63193857549959,30.16193541340035,30.632525965649624,30.705572378439584,30.725206159743436,3|3|2|4|20,32,753.3096917829998,8.64319159971139,0.5333333333333333,0,,,,1.0,
gke,qwen:7b,stress,32,4096.0,0.0,4096,4096,139264,183.08823529411765,151.40040583730456,29,849,6225,-1.0,0.0,-1,-1,-34,31.96100344694113,16.216339792763854,5.147160850399587,32.5292755710002,47.71280279519997,55.429996335949724,56.05317167250005,56.28896159115013,4|7|8|6|9,11.729229012569002,19.92780834654938,1.2099211997569084,5.278912461369281,10.355676134959294,67.54168688745858,79.00955244897773,81.08993242143784,30|1|0|1|2,31.961003636058784,16.216339790016963,5.147161021249895,32.5292757735001,47.71280297940012,55.42999654054984,56.0531718340297,56.2889617405025,4|7|8|6|9,34,1086.6741236259986,5.728488297143314,0.5666666666666667,0,,,,1.0,
